product_name,forecast_date,predicted_sales
Beauty,2024-01-02,25.629070975254905
Beauty,2024-01-03,25.984373774717724
Beauty,2024-01-04,25.78721882526966
Beauty,2024-01-05,25.87473482481809
Beauty,2024-01-06,26.834627102241726
Beauty,2024-01-07,26.882124766161102
Beauty,2024-01-08,26.80735992089018
Beauty,2024-01-09,26.436381986427193
Beauty,2024-01-10,26.390371408996106
Beauty,2024-01-11,26.40830954033829
Beauty,2024-01-12,25.72008142758266
Beauty,2024-01-13,25.90498934427848
Beauty,2024-01-14,25.75098283515552
Beauty,2024-01-15,26.499055315102325
Beauty,2024-01-16,26.465647081946077
Beauty,2024-01-17,26.45156167102519
Beauty,2024-01-18,25.891599415934387
Beauty,2024-01-19,25.80448669879375
Beauty,2024-01-20,25.938986781839116
Beauty,2024-01-21,26.428029677609167
Beauty,2024-01-22,26.462469022974663
Beauty,2024-01-23,25.939952574945213
Beauty,2024-01-24,26.433212965217848
Beauty,2024-01-25,26.460548604654534
Beauty,2024-01-26,26.541799625473935
Beauty,2024-01-27,25.667255410596113
Beauty,2024-01-28,26.16255303608684
Beauty,2024-01-29,26.170087117730304
Beauty,2024-01-30,26.170177895570074
Beauty,2024-01-31,26.19318195467789
Clothing,2023-12-29,25.91938242613272
Clothing,2023-12-30,26.963261270232202
Clothing,2023-12-31,26.903205497165274
Clothing,2024-01-01,26.848055248963647
Clothing,2024-01-02,26.82542355945767
Clothing,2024-01-03,25.863856098229764
Clothing,2024-01-04,25.845123424258485
Clothing,2024-01-05,25.89367070067935
Clothing,2024-01-06,26.395696847653294
Clothing,2024-01-07,26.527724203441636
Clothing,2024-01-08,26.479042487362484
Clothing,2024-01-09,26.45941277576867
Clothing,2024-01-10,25.609909268216086
Clothing,2024-01-11,26.10909724050881
Clothing,2024-01-12,26.350712714818236
Clothing,2024-01-13,26.347595919605983
Clothing,2024-01-14,26.40155394221537
Clothing,2024-01-15,26.189984589663336
Clothing,2024-01-16,26.179642034493284
Clothing,2024-01-17,26.16350838966031
Clothing,2024-01-18,26.221297052329817
Clothing,2024-01-19,26.212286533173252
Clothing,2024-01-20,26.163886814040975
Clothing,2024-01-21,25.42296786177213
Clothing,2024-01-22,26.170039799183215
Clothing,2024-01-23,25.42579905362393
Clothing,2024-01-24,26.223009949942604
Clothing,2024-01-25,26.18890641731501
Clothing,2024-01-26,26.21747470428913
Clothing,2024-01-27,25.32805141224633
Electronics,2024-01-02,26.78000421186402
Electronics,2024-01-03,26.40242754873888
Electronics,2024-01-04,26.374940384689676
Electronics,2024-01-05,26.444796812439666
Electronics,2024-01-06,26.418350193658036
Electronics,2024-01-07,26.48610240231796
Electronics,2024-01-08,26.478228317740154
Electronics,2024-01-09,26.374949665285932
Electronics,2024-01-10,26.519748153307084
Electronics,2024-01-11,26.545360562106264
Electronics,2024-01-12,25.94955720089628
Electronics,2024-01-13,26.4307667422546
Electronics,2024-01-14,25.980591775364804
Electronics,2024-01-15,26.543235707099186
Electronics,2024-01-16,25.618480343225258
Electronics,2024-01-17,26.217576201010733
Electronics,2024-01-18,26.21562376333266
Electronics,2024-01-19,26.217810549430773
Electronics,2024-01-20,26.16921608540678
Electronics,2024-01-21,26.267842613121857
Electronics,2024-01-22,26.186407502359778
Electronics,2024-01-23,25.420216950652833
Electronics,2024-01-24,25.382587591253074
Electronics,2024-01-25,26.211050194228108
Electronics,2024-01-26,26.214306152810746
Electronics,2024-01-27,25.428631916882036
Electronics,2024-01-28,26.165351418498418
Electronics,2024-01-29,25.43069525879619
Electronics,2024-01-30,26.177983480071042
Electronics,2024-01-31,26.215687637703656
